|table_name|chunk_id|column_id|    column_name|column_data_type|distinct_value_count|encoding_type|vector_compression_type|size_in_bytes|point_accesses|sequential_accesses|monotonic_accesses|random_accesses|dictionary_accesses|
|    nation|       0|        0|    n_nationkey|             int|                  25|   Dictionary|              SimdBp128|          292|          6945|              48900|             69645|           4392|             125490|
|    nation|       0|        1|         n_name|          string|                  25|   Dictionary|              SimdBp128|         1224|             0|             201100|                 0|       59381676|           19972249|
|    nation|       0|        2|    n_regionkey|             int|                   5|   Dictionary|              SimdBp128|          180|             0|             234625|                 0|              0|             234625|
|    nation|       0|        3|      n_comment|          string|                  25|   Dictionary|              SimdBp128|         3106|             0|                 25|                 0|              0|                 25|
|      part|       0|        0|      p_partkey|             int|               65535|   Dictionary|              SimdBp128|       385644|             0|           92469885|          16413426|        2899955|          108883311|
|      part|       0|        1|         p_name|          string|               65535|   Dictionary|              SimdBp128|      4964504|             0|          111081825|                 0|              0|             118047|
|      part|       0|        2|         p_mfgr|          string|                   5|   Dictionary|              SimdBp128|        25416|             0|              65535|                 0|              0|              65535|
|      part|       0|        3|        p_brand|          string|                  25|   Dictionary|              SimdBp128|        42600|           152|          153614040|          26075221|        5449688|           25034560|
|      part|       0|        4|         p_type|          string|                 150|   Dictionary|              SimdBp128|        75416|             0|           34970882|         139784804|        5267234|           60094931|
|      part|       0|        5|         p_size|             int|                  50|   Dictionary|              SimdBp128|        49960|           379|          285994740|          64373797|        5289308|           64063339|
|      part|       0|        6|    p_container|          string|                  40|   Dictionary|              SimdBp128|        51392|             0|           45284685|           4629659|         166756|            4700714|
|      part|       0|        7|   p_retailsize|           float|                7452|   Dictionary|              SimdBp128|       132048|             0|              65535|                 0|              0|              65535|
|      part|       0|        8|      p_comment|          string|               50824|   Dictionary|              SimdBp128|      2666458|             0|              65535|                 0|              0|              65535|
|      part|       1|        0|      p_partkey|             int|               65535|   Dictionary|              SimdBp128|       385644|             0|           92469885|          16417603|        2896380|          108887488|
|      part|       1|        1|         p_name|          string|               65535|   Dictionary|              SimdBp128|      4965645|             0|          111081825|                 0|              0|             118047|
|      part|       1|        2|         p_mfgr|          string|                   5|   Dictionary|              SimdBp128|        25416|             0|              65535|                 0|              0|              65535|
|      part|       1|        3|        p_brand|          string|                  25|   Dictionary|              SimdBp128|        42600|           152|          153614040|          26078887|        3889012|           25039040|
|      part|       1|        4|         p_type|          string|                 150|   Dictionary|              SimdBp128|        75416|             0|           34468248|         140264036|        3706727|           60070375|
|      part|       1|        5|         p_size|             int|                  50|   Dictionary|              SimdBp128|        49960|           325|          285994740|          64384347|        3729000|           64067256|
|      part|       1|        6|    p_container|          string|                  40|   Dictionary|              SimdBp128|        51392|             2|           45284685|           4629832|         168679|            4700889|
|      part|       1|        7|   p_retailsize|           float|                7453|   Dictionary|              SimdBp128|       132068|             0|              65535|                 0|              0|              65535|
|      part|       1|        8|      p_comment|          string|               50684|   Dictionary|              SimdBp128|      2656946|             0|              65535|                 0|              0|              65535|
|      part|       2|        0|      p_partkey|             int|               65535|   Dictionary|              SimdBp128|       385644|             0|           92469885|          16416351|        2893596|          108886236|
|      part|       2|        1|         p_name|          string|               65534|   Dictionary|              SimdBp128|      4964667|             0|          111081825|                 0|              0|             118047|
|      part|       2|        2|         p_mfgr|          string|                   5|   Dictionary|              SimdBp128|        25416|             0|              65535|                 0|              0|              65535|
|      part|       2|        3|        p_brand|          string|                  25|   Dictionary|              SimdBp128|        42600|           114|          153614040|          26070541|        2799898|           25032367|
|      part|       2|        4|         p_type|          string|                 150|   Dictionary|              SimdBp128|        75416|             0|           31260195|         143502862|        2619263|           60101137|
|      part|       2|        5|         p_size|             int|                  50|   Dictionary|              SimdBp128|        49960|           326|          285994740|          64371196|        2640560|           64059235|
|      part|       2|        6|    p_container|          string|                  40|   Dictionary|              SimdBp128|        51392|             0|           45284685|           4624397|         165627|            4695452|
|      part|       2|        7|   p_retailsize|           float|                7452|   Dictionary|              SimdBp128|       132208|             0|              65535|                 0|              0|              65535|
|      part|       2|        8|      p_comment|          string|               51019|   Dictionary|              SimdBp128|      2675094|             0|              65535|                 0|              0|              65535|
|      part|       3|        0|      p_partkey|             int|                3395|   Dictionary|              SimdBp128|        18396|           176|            4790345|            850783|         148180|            5641304|
|      part|       3|        1|         p_name|          string|                3395|   Dictionary|              SimdBp128|       255810|             0|            5754525|                 0|              0|              42779|
|      part|       3|        2|         p_mfgr|          string|                   5|   Dictionary|              SimdBp128|         1656|             0|               3395|                 0|              0|               3395|
|      part|       3|        3|        p_brand|          string|                  25|   Dictionary|              SimdBp128|         3320|           447|            7957880|           1348117|         124066|            1324253|
|      part|       3|        4|         p_type|          string|                 150|   Dictionary|              SimdBp128|        12856|             0|            1825551|           7224913|         114922|            3421284|
|      part|       3|        5|         p_size|             int|                  50|   Dictionary|              SimdBp128|         2920|           589|           14815780|           3332010|         115122|            3376536|
|      part|       3|        6|    p_container|          string|                  40|   Dictionary|              SimdBp128|         4352|             0|            2345945|            239404|           8604|             248319|
|      part|       3|        7|   p_retailsize|           float|                1239|   Dictionary|              SimdBp128|         9388|             0|               3395|                 0|              0|               3395|
|      part|       3|        8|      p_comment|          string|                3278|   Dictionary|              SimdBp128|       162294|             0|               3395|                 0|              0|               3395|
|  lineitem|       0|        0|     l_orderkey|             int|               31956|   Dictionary|              SimdBp128|       247168|             0|           76151670|            332778|        3607707|           76484448|
|  lineitem|       0|        1|      l_partkey|             int|               55822|   Dictionary|              SimdBp128|       354968|             0|          118552815|            189164|         321457|          118741979|
|  lineitem|       0|        2|      l_suppkey|             int|                9989|   Dictionary|              SimdBp128|       155252|             0|            6619035|             67777|        1260700|            6686812|
|  lineitem|       0|        3|   l_linenumber|             int|                   7|   Dictionary|              SimdBp128|        25212|             0|              65535|                 0|              0|              65535|
