|table_name|chunk_id|column_id|    column_name|column_data_type|distinct_value_count|encoding_type|vector_compression_type|size_in_bytes|point_accesses|sequential_accesses|monotonic_accesses|random_accesses|dictionary_accesses|
|    nation|       0|        0|    n_nationkey|             int|                  25|   Dictionary|  FixedSize1ByteAligned|          221|         17312|              89975|            201155|           6296|             308442|
|    nation|       0|        1|         n_name|          string|                  25|   Dictionary|  FixedSize1ByteAligned|         1153|             0|             472175|                 0|       94126977|           34423672|
|    nation|       0|        2|    n_regionkey|             int|                   5|   Dictionary|  FixedSize1ByteAligned|          141|             0|             674650|                 0|              0|             674650|
|    nation|       0|        3|      n_comment|          string|                  25|   Dictionary|  FixedSize1ByteAligned|         3035|             0|                 25|                 0|              0|                 25|
|      part|       0|        0|      p_partkey|             int|               65535|   Dictionary|  FixedSize2ByteAligned|       393306|             0|          165934620|          23973700|        8933374|          189908320|
|      part|       0|        1|         p_name|          string|               65535|   Dictionary|  FixedSize2ByteAligned|      4963990|             0|          227406450|                 0|              0|             173535|
|      part|       0|        2|         p_mfgr|          string|                   5|   Dictionary|  FixedSize1ByteAligned|        65863|             0|              65535|                 0|              0|              65535|
|      part|       0|        3|        p_brand|          string|                  25|   Dictionary|  FixedSize1ByteAligned|        66663|           425|          339864510|          31306223|        6313759|           27756083|
|      part|       0|        4|         p_type|          string|                 150|   Dictionary|  FixedSize1ByteAligned|        74903|             0|           50405953|         190608700|        5829208|           90713541|
|      part|       0|        5|         p_size|             int|                  50|   Dictionary|  FixedSize1ByteAligned|        65831|          1004|          853003560|          71924196|        5887535|           71009940|
|      part|       0|        6|    p_container|          string|                  40|   Dictionary|  FixedSize1ByteAligned|        67263|            10|          147388215|          12237297|         442827|           12320826|
|      part|       0|        7|   p_retailsize|           float|                7452|   Dictionary|  FixedSize2ByteAligned|       160974|             0|              65535|                 0|              0|              65535|
|      part|       0|        8|      p_comment|          string|               50824|   Dictionary|  FixedSize2ByteAligned|      2665944|             0|              65535|                 0|              0|              65535|
|      part|       1|        0|      p_partkey|             int|               65535|   Dictionary|  FixedSize2ByteAligned|       393306|             0|          165934620|          23966389|        8953778|          189901009|
|      part|       1|        1|         p_name|          string|               65535|   Dictionary|  FixedSize2ByteAligned|      4965131|             0|          227406450|                 0|              0|             173535|
|      part|       1|        2|         p_mfgr|          string|                   5|   Dictionary|  FixedSize1ByteAligned|        65863|             0|              65535|                 0|              0|              65535|
|      part|       1|        3|        p_brand|          string|                  25|   Dictionary|  FixedSize1ByteAligned|        66663|           391|          339864510|          31301850|        4581446|           27751069|
|      part|       1|        4|         p_type|          string|                 150|   Dictionary|  FixedSize1ByteAligned|        74903|             0|           50595122|         190377122|        4100439|           90669197|
|      part|       1|        5|         p_size|             int|                  50|   Dictionary|  FixedSize1ByteAligned|        65831|           886|          853003560|          71939061|        4159948|           71004076|
|      part|       1|        6|    p_container|          string|                  40|   Dictionary|  FixedSize1ByteAligned|        67263|             6|          147388215|          12240943|         445743|           12324468|
|      part|       1|        7|   p_retailsize|           float|                7453|   Dictionary|  FixedSize2ByteAligned|       160978|             0|              65535|                 0|              0|              65535|
|      part|       1|        8|      p_comment|          string|               50684|   Dictionary|  FixedSize2ByteAligned|      2656432|             0|              65535|                 0|              0|              65535|
|      part|       2|        0|      p_partkey|             int|               65535|   Dictionary|  FixedSize2ByteAligned|       393306|             0|          165934620|          23972727|        8962766|          189907347|
