|table_name|chunk_id|column_id|    column_name|column_data_type|distinct_value_count|encoding_type|vector_compression_type|size_in_bytes|point_accesses|sequential_accesses|monotonic_accesses|random_accesses|dictionary_accesses|
|    nation|       0|        0|    n_nationkey|             int|                  25|   Dictionary|  FixedSize1ByteAligned|          221|         17286|              89400|            207180|           7416|             313866|
|    nation|       0|        1|         n_name|          string|                  25|   Dictionary|  FixedSize1ByteAligned|         1153|             0|             478525|                 0|       98428513|           33482538|
|    nation|       0|        2|    n_regionkey|             int|                   5|   Dictionary|  FixedSize1ByteAligned|          141|             0|             695050|                 0|              0|             695050|
|    nation|       0|        3|      n_comment|          string|                  25|   Dictionary|  FixedSize1ByteAligned|         3035|             0|                 25|                 0|              0|                 25|
|      part|       0|        0|      p_partkey|             int|               65535|   Dictionary|  FixedSize2ByteAligned|       393306|             0|          157349535|          23436240|        9071334|          180785775|
|      part|       0|        1|         p_name|          string|               65535|   Dictionary|  FixedSize2ByteAligned|      4963990|             0|          233370135|                 0|              0|             176575|
|      part|       0|        2|         p_mfgr|          string|                   5|   Dictionary|  FixedSize1ByteAligned|        65863|             0|              65535|                 0|              0|              65535|
|      part|       0|        3|        p_brand|          string|                  25|   Dictionary|  FixedSize1ByteAligned|        66663|           422|          336784365|          29686881|        5966791|           26131305|
|      part|       0|        4|         p_type|          string|                 150|   Dictionary|  FixedSize1ByteAligned|        74903|             0|           54311633|         180834946|        5485638|           85856988|
|      part|       0|        5|         p_size|             int|                  50|   Dictionary|  FixedSize1ByteAligned|        65831|           973|          877710255|          67745433|        5543885|           66834797|
|      part|       0|        6|    p_container|          string|                  40|   Dictionary|  FixedSize1ByteAligned|        67263|            13|          147519285|          12219170|         440344|           12302718|
|      part|       0|        7|   p_retailsize|           float|                7452|   Dictionary|  FixedSize2ByteAligned|       160974|             0|              65535|                 0|              0|              65535|
|      part|       0|        8|      p_comment|          string|               50824|   Dictionary|  FixedSize2ByteAligned|      2665944|             0|              65535|                 0|              0|              65535|
|      part|       1|        0|      p_partkey|             int|               65535|   Dictionary|  FixedSize2ByteAligned|       393306|             0|          157349535|          23425282|        9066065|          180774817|
|      part|       1|        1|         p_name|          string|               65535|   Dictionary|  FixedSize2ByteAligned|      4965131|             0|          233370135|                 0|              0|             176575|
|      part|       1|        2|         p_mfgr|          string|                   5|   Dictionary|  FixedSize1ByteAligned|        65863|             0|              65535|                 0|              0|              65535|
|      part|       1|        3|        p_brand|          string|                  25|   Dictionary|  FixedSize1ByteAligned|        66663|           397|          336784365|          29664868|        4342250|           26111387|
|      part|       1|        4|         p_type|          string|                 150|   Dictionary|  FixedSize1ByteAligned|        74903|             0|           53494454|         181606973|        3857668|           85811768|
|      part|       1|        5|         p_size|             int|                  50|   Dictionary|  FixedSize1ByteAligned|        65831|           924|          877710255|          67743053|        3917383|           66811886|
|      part|       1|        6|    p_container|          string|                  40|   Dictionary|  FixedSize1ByteAligned|        67263|            17|          147519285|          12219316|         448604|           12302868|
|      part|       1|        7|   p_retailsize|           float|                7453|   Dictionary|  FixedSize2ByteAligned|       160978|             0|              65535|                 0|              0|              65535|
|      part|       1|        8|      p_comment|          string|               50684|   Dictionary|  FixedSize2ByteAligned|      2656432|             0|              65535|                 0|              0|              65535|
|      part|       2|        0|      p_partkey|             int|               65535|   Dictionary|  FixedSize2ByteAligned|       393306|             0|          157349535|          23427199|        9081769|          180776734|
|      part|       2|        1|         p_name|          string|               65534|   Dictionary|  FixedSize2ByteAligned|      4964153|             0|          233370135|                 0|              0|             176575|
|      part|       2|        2|         p_mfgr|          string|                   5|   Dictionary|  FixedSize1ByteAligned|        65863|             0|              65535|                 0|              0|              65535|
|      part|       2|        3|        p_brand|          string|                  25|   Dictionary|  FixedSize1ByteAligned|        66663|           303|          336784365|          29664807|        3205907|           26111058|
|      part|       2|        4|         p_type|          string|                 150|   Dictionary|  FixedSize1ByteAligned|        74903|             0|           50789625|         184350692|        2726491|           85845015|
|      part|       2|        5|         p_size|             int|                  50|   Dictionary|  FixedSize1ByteAligned|        65831|           860|          877710255|          67732277|        2782464|           66815145|
|      part|       2|        6|    p_container|          string|                  40|   Dictionary|  FixedSize1ByteAligned|        67263|             9|          147519285|          12221895|         442564|           12305446|
|      part|       2|        7|   p_retailsize|           float|                7452|   Dictionary|  FixedSize2ByteAligned|       160974|             0|              65535|                 0|              0|              65535|
|      part|       2|        8|      p_comment|          string|               51019|   Dictionary|  FixedSize2ByteAligned|      2674580|             0|              65535|                 0|              0|              65535|
|      part|       3|        0|      p_partkey|             int|                3395|   Dictionary|  FixedSize2ByteAligned|        20466|           592|            8151415|           1217831|         462293|            9369838|
|      part|       3|        1|         p_name|          string|                3395|   Dictionary|  FixedSize2ByteAligned|       257384|             0|           12089595|                 0|              0|              86675|
|      part|       3|        2|         p_mfgr|          string|                   5|   Dictionary|  FixedSize1ByteAligned|         3723|             0|               3395|                 0|              0|               3395|
|      part|       3|        3|        p_brand|          string|                  25|   Dictionary|  FixedSize1ByteAligned|         4523|          1068|           17446905|           1538288|         144774|            1428623|
|      part|       3|        4|         p_type|          string|                 150|   Dictionary|  FixedSize1ByteAligned|        12763|             0|            2765277|           9414346|         119925|            5372220|
|      part|       3|        5|         p_size|             int|                  50|   Dictionary|  FixedSize1ByteAligned|         3691|          1546|           45469235|           3510843|         120442|            3637319|
|      part|       3|        6|    p_container|          string|                  40|   Dictionary|  FixedSize1ByteAligned|         5123|             0|            7642145|            633504|          23386|             654899|
|      part|       3|        7|   p_retailsize|           float|                1239|   Dictionary|  FixedSize2ByteAligned|        11842|             0|               3395|                 0|              0|               3395|
|      part|       3|        8|      p_comment|          string|                3278|   Dictionary|  FixedSize2ByteAligned|       163868|             0|               3395|                 0|              0|               3395|
|  lineitem|       0|        0|     l_orderkey|             int|               31956|   Dictionary|  FixedSize2ByteAligned|       258990|             0|          106756515|            501299|        4588045|          107257814|
|  lineitem|       0|        1|      l_partkey|             int|               55822|   Dictionary|  FixedSize2ByteAligned|       354454|             0|          305982915|            321847|         751173|          306304762|
|  lineitem|       0|        2|      l_suppkey|             int|                9989|   Dictionary|  FixedSize2ByteAligned|       171122|             0|            8060805|             83201|        1995913|            8144006|
|  lineitem|       0|        3|   l_linenumber|             int|                   7|   Dictionary|  FixedSize1ByteAligned|        65659|             0|              65535|                 0|              0|              65535|
|  lineitem|       0|        4|     l_quantity|           float|                  50|   Dictionary|  FixedSize1ByteAligned|        65831|          2236|           11206485|              9577|         621344|           11246313|
|  lineitem|       0|        5|l_extendedprice|           float|               63142|   Dictionary|  FixedSize2ByteAligned|       383734|             0|           10944345|                 0|         337928|           10944345|
|  lineitem|       0|        6|     l_discount|           float|                  11|   Dictionary|  FixedSize1ByteAligned|        65675|             0|           10944345|                 0|         324812|           10944345|
|  lineitem|       0|        7|          l_tax|           float|                   9|   Dictionary|  FixedSize1ByteAligned|        65667|             0|            5504940|                 0|              0|            5504940|
|  lineitem|       0|        8|   l_returnflag|          string|                   2|   Dictionary|  FixedSize1ByteAligned|        65743|             0|            5504940|                 0|            166|            5504940|
|  lineitem|       0|        9|   l_linestatus|          string|                   1|   Dictionary|  FixedSize1ByteAligned|        65703|             0|            5504940|                 0|            166|            5504940|
|  lineitem|       0|       10|     l_shipdate|          string|                  80|   Dictionary|  FixedSize1ByteAligned|        68863|             0|            5504940|                 0|              0|            5504940|
|  lineitem|       0|       11|   l_commitdate|          string|                 138|   Dictionary|  FixedSize1ByteAligned|        71183|             0|              65535|            321116|         852786|             386651|
|  lineitem|       0|       12|  l_receiptdate|          string|                 108|   Dictionary|  FixedSize1ByteAligned|        69983|             0|              65535|            321116|         852786|             386651|
|  lineitem|       0|       13| l_shipinstruct|          string|                   4|   Dictionary|  FixedSize1ByteAligned|        65858|             0|              65535|             36704|              0|              71751|
|  lineitem|       0|       14|     l_shipmode|          string|                   7|   Dictionary|  FixedSize1ByteAligned|        65943|             0|              65535|            259225|              0|              81075|
|  lineitem|       0|       15|      l_comment|          string|               63743|   Dictionary|  FixedSize2ByteAligned|      4315175|             0|              65535|                 0|              0|              65535|
|  lineitem|       1|        0|     l_orderkey|             int|               40832|   Dictionary|  FixedSize2ByteAligned|       294494|             0|          106756515|            667535|        3932202|          107424050|
|  lineitem|       1|        1|      l_partkey|             int|               56074|   Dictionary|  FixedSize2ByteAligned|       355462|             0|          305982915|            322613|         716610|          306305528|
|  lineitem|       1|        2|      l_suppkey|             int|                9988|   Dictionary|  FixedSize2ByteAligned|       171118|             0|            8060805|            172461|        2170487|            8233266|
|  lineitem|       1|        3|   l_linenumber|             int|                   7|   Dictionary|  FixedSize1ByteAligned|        65659|             0|              65535|                 0|              0|              65535|
|  lineitem|       1|        4|     l_quantity|           float|                  50|   Dictionary|  FixedSize1ByteAligned|        65831|          2254|           11206485|              8640|         620556|           11243421|
