|table_name|chunk_id|column_id|    column_name|column_data_type|distinct_value_count|encoding_type|vector_compression_type|size_in_bytes|point_accesses|sequential_accesses|monotonic_accesses|random_accesses|dictionary_accesses|
|    nation|       0|        0|    n_nationkey|             int|                  25|   Dictionary|    TurboPForBitpacking|          212|          8926|              58950|             81610|           4856|             149486|
|    nation|       0|        1|         n_name|          string|                  25|   Dictionary|    TurboPForBitpacking|         1144|             0|             253525|                 0|       75456133|           29556819|
|    nation|       0|        2|    n_regionkey|             int|                   5|   Dictionary|    TurboPForBitpacking|          126|             0|             274625|                 0|              0|             274625|
|    nation|       0|        3|      n_comment|          string|                  25|   Dictionary|    TurboPForBitpacking|         3026|             0|                 25|                 0|              0|                 25|
|      part|       0|        0|      p_partkey|             int|               65535|   Dictionary|    TurboPForBitpacking|       393306|             0|          137230290|          16934695|        3495441|          154164985|
|      part|       0|        1|         p_name|          string|               65535|   Dictionary|    TurboPForBitpacking|      4963990|             0|          137623500|                 0|              0|             130079|
|      part|       0|        2|         p_mfgr|          string|                   5|   Dictionary|    TurboPForBitpacking|        24904|             0|              65535|                 0|              0|              65535|
|      part|       0|        3|        p_brand|          string|                  25|   Dictionary|    TurboPForBitpacking|        42088|           196|          166589970|          25755382|        5346064|           24445889|
|      part|       0|        4|         p_type|          string|                 150|   Dictionary|    TurboPForBitpacking|        74903|             0|           35843973|         156080607|        5141380|           76495379|
|      part|       0|        5|         p_size|             int|                  50|   Dictionary|    TurboPForBitpacking|        49448|           409|          337505250|          62927499|        5166522|           62569370|
|      part|       0|        6|    p_container|          string|                  40|   Dictionary|    TurboPForBitpacking|        50880|             4|           56097960|           5236685|         188048|            5309064|
|      part|       0|        7|   p_retailsize|           float|                7452|   Dictionary|    TurboPForBitpacking|       136399|             0|              65535|                 0|              0|              65535|
|      part|       0|        8|      p_comment|          string|               50824|   Dictionary|    TurboPForBitpacking|      2665944|             0|              65535|                 0|              0|              65535|
|      part|       1|        0|      p_partkey|             int|               65535|   Dictionary|    TurboPForBitpacking|       393306|             0|          137230290|          16933947|        3489887|          154164237|
|      part|       1|        1|         p_name|          string|               65535|   Dictionary|    TurboPForBitpacking|      4965131|             0|          137623500|                 0|              0|             130079|
|      part|       1|        2|         p_mfgr|          string|                   5|   Dictionary|    TurboPForBitpacking|        24904|             0|              65535|                 0|              0|              65535|
|      part|       1|        3|        p_brand|          string|                  25|   Dictionary|    TurboPForBitpacking|        42088|           162|          166589970|          25764779|        3827002|           24459209|
|      part|       1|        4|         p_type|          string|                 150|   Dictionary|    TurboPForBitpacking|        74903|             0|           35278356|         156614488|        3621258|           76464260|
|      part|       1|        5|         p_size|             int|                  50|   Dictionary|    TurboPForBitpacking|        49448|           363|          337505250|          62950147|        3646738|           62583961|
|      part|       1|        6|    p_container|          string|                  40|   Dictionary|    TurboPForBitpacking|        50880|             3|           56097960|           5237462|         191083|            5309840|
|      part|       1|        7|   p_retailsize|           float|                7453|   Dictionary|    TurboPForBitpacking|       136403|             0|              65535|                 0|              0|              65535|
|      part|       1|        8|      p_comment|          string|               50684|   Dictionary|    TurboPForBitpacking|      2656432|             0|              65535|                 0|              0|              65535|
|      part|       2|        0|      p_partkey|             int|               65535|   Dictionary|    TurboPForBitpacking|       393306|             0|          137230290|          16940303|        3495775|          154170593|
|      part|       2|        1|         p_name|          string|               65534|   Dictionary|    TurboPForBitpacking|      4964153|             0|          137623500|                 0|              0|             130079|
|      part|       2|        2|         p_mfgr|          string|                   5|   Dictionary|    TurboPForBitpacking|        24904|             0|              65535|                 0|              0|              65535|
|      part|       2|        3|        p_brand|          string|                  25|   Dictionary|    TurboPForBitpacking|        42088|           119|          166589970|          25769722|        2764274|           24464040|
|      part|       2|        4|         p_type|          string|                 150|   Dictionary|    TurboPForBitpacking|        74903|             0|           32636430|         159317597|        2558984|           76515250|
|      part|       2|        5|         p_size|             int|                  50|   Dictionary|    TurboPForBitpacking|        49448|           356|          337505250|          62950160|        2583293|           62589673|
|      part|       2|        6|    p_container|          string|                  40|   Dictionary|    TurboPForBitpacking|        50880|             0|           56097960|           5232703|         188850|            5305078|
|      part|       2|        7|   p_retailsize|           float|                7452|   Dictionary|    TurboPForBitpacking|       136399|             0|              65535|                 0|              0|              65535|
|      part|       2|        8|      p_comment|          string|               51019|   Dictionary|    TurboPForBitpacking|      2674580|             0|              65535|                 0|              0|              65535|
|      part|       3|        0|      p_partkey|             int|                3395|   Dictionary|    TurboPForBitpacking|        18769|           196|            7109142|            878330|         177990|            7987668|
