|table_name|chunk_id|column_id|    column_name|column_data_type|distinct_value_count|encoding_type|vector_compression_type|size_in_bytes|point_accesses|sequential_accesses|monotonic_accesses|random_accesses|dictionary_accesses|
|    nation|       0|        0|    n_nationkey|             int|                  25|    TurboPFOR|                   NULL|          523|          8598|              66950|             88850|           5872|                  0|
|    nation|       0|        1|         n_name|          string|                  25|   Dictionary|  FixedSize1ByteAligned|         1153|             0|             251675|                 0|       91546861|           40496829|
|    nation|       0|        2|    n_regionkey|             int|                   5|    TurboPFOR|                   NULL|          516|             0|             299675|                 0|              0|                  0|
|    nation|       0|        3|      n_comment|          string|                  25|   Dictionary|  FixedSize1ByteAligned|         3035|             0|                 25|                 0|              0|                 25|
|      part|       0|        0|      p_partkey|             int|               65535|    TurboPFOR|                   NULL|       124918|             0|          155383485|          16331237|        4904223|                  0|
|      part|       0|        1|         p_name|          string|               65535|   Dictionary|  FixedSize2ByteAligned|      4963990|             0|          158594700|                 0|              0|             139295|
|      part|       0|        2|         p_mfgr|          string|                   5|   Dictionary|  FixedSize1ByteAligned|        65863|             0|              65535|                 0|              0|              65535|
|      part|       0|        3|        p_brand|          string|                  25|   Dictionary|  FixedSize1ByteAligned|        66663|           301|          243528060|          24182697|        4942421|           21928120|
|      part|       0|        4|         p_type|          string|                 150|   Dictionary|  FixedSize1ByteAligned|        74903|             0|           44049058|         153164494|        4604759|           80886710|
|      part|       0|        5|         p_size|             int|                  50|    TurboPFOR|                   NULL|        50902|           702|          365292090|          56711153|        4646266|                  0|
|      part|       0|        6|    p_container|          string|                  40|   Dictionary|  FixedSize1ByteAligned|        67263|             4|           94698075|           8647525|         314041|            8724616|
|      part|       0|        7|   p_retailsize|           float|                7452|   Dictionary|  FixedSize2ByteAligned|       160974|             0|              65535|                 0|              0|              65535|
|      part|       0|        8|      p_comment|          string|               50824|   Dictionary|  FixedSize2ByteAligned|      2658605|             0|              65535|                 0|              0|              65535|
|      part|       1|        0|      p_partkey|             int|               65535|    TurboPFOR|                   NULL|       141014|             0|          155383485|          16322324|        4925992|                  0|
|      part|       1|        1|         p_name|          string|               65535|   Dictionary|  FixedSize2ByteAligned|      4965131|             0|          158594700|                 0|              0|             139295|
|      part|       1|        2|         p_mfgr|          string|                   5|   Dictionary|  FixedSize1ByteAligned|        65863|             0|              65535|                 0|              0|              65535|
|      part|       1|        3|        p_brand|          string|                  25|   Dictionary|  FixedSize1ByteAligned|        66663|           264|          243528060|          24163472|        3575553|           21909281|
|      part|       1|        4|         p_type|          string|                 150|   Dictionary|  FixedSize1ByteAligned|        74903|             0|           44112421|         153028275|        3237684|           80815049|
|      part|       1|        5|         p_size|             int|                  50|    TurboPFOR|                   NULL|        50902|           639|          365292090|          56701353|        3279359|                  0|
|      part|       1|        6|    p_container|          string|                  40|   Dictionary|  FixedSize1ByteAligned|        67263|             9|           94698075|           8647989|         316771|            8725085|
|      part|       1|        7|   p_retailsize|           float|                7453|   Dictionary|  FixedSize2ByteAligned|       160978|             0|              65535|                 0|              0|              65535|
